GSM1841251,GSM1841259,GSM1841261,GSM1841263,GSM1841266,GSM1841268,GSM1841270,GSM1841273
87.3527,151.9015,180.0429,102.6709,139.0633,168.1232,164.6519,180.0428
2679.198,2895.0585,2450.2381,1619.8183,3149.4056,2878.9928,3052.2178,2444.7508
607.2326,942.0242,680.5544,453.6283,1207.9117,1173.0061,1158.7668,861.8073
909.9472,638.8008,436.724,306.7557,1216.3942,970.3914,950.1328,511.8014
1.4232,0,2.1233,12.2342,0.7098,12.8119,23.1495,7.1362
568.6635,687.8979,2008.372,1063.7045,1003.2529,469.0599,1826.4326,762.3964
1716.3237,2016.9017,1662.597,750.2859,3288.5783,2833.3169,1866.6205,2214.5742
1.4877,1.2842,1.2763,0,0.6401,0,0,12.4902
125.3327,150.1632,216.3693,89.9116,298.0292,271.9193,180.6149,275.7606
3048.4921,3023.9346,3693.0684,4236.3779,3676.5881,2620.0532,2804.3686,2600.3871
13.0792,14.3029,26.8888,119.055,32.6738,15.79,38.3052,21.7442
1773.4331,2245.7127,2567.1706,1540.7499,1770.5915,1155.7608,1659.8759,1106.1478
342.8198,427.4248,263.9203,237.7523,440.8488,408.7326,477.2502,309.704
336.689,279.3786,268.5728,133.8241,302.4554,244.7778,226.5328,189.6475
158.8216,115.7378,196.5587,213.9259,193.2493,108.7467,84.2744,762.2855
3047.9713,3363.6634,3115.27,2223.5673,2730.1006,3649.826,2202.9452,3369.2432
4.0462,0,3.6513,0,1.187,0.5937,8.5542,0
1841.5336,1263.8625,1710.4387,1165.0253,1903.7802,1077.8907,1611.1061,872.8455
115.5041,72.751,349.9734,125.9232,137.5129,71.4603,198.9885,121.0207
11.9007,1732.0307,7.8496,3.5304,2000.1381,0,1402.035,0.4638
6513.1235,6776.6099,6768.5784,3328.2577,7603.7141,8345.2047,5852.451,7663.6014
508.7417,582.2979,555.9908,263.9549,705.1273,647.2758,617.2651,472.6954
428.9084,550.2178,373.7769,280.7075,709.1677,544.7239,739.1099,402.8352
975.6797,1087.1405,1442.1733,404.5259,1452.2353,1687.7891,1264.5822,1339.2815
1076.133,1200.059,1294.0454,970.5447,1066.6406,949.0959,1172.0955,879.4348
1467.3352,1752.0086,1958.6924,893.3185,1712.012,1802.796,1956.2653,1811.7724
26.1839,28.9172,18.2515,1.0505,17.5274,25.5027,10.0646,30.0499
111.8,304.4689,113.6844,206.5492,133.3982,114.7506,308.6377,123.3933
2162.5886,2127.7785,3014.0796,2226.4239,2197.0795,1918.3654,2297.7677,1907.0508
3726.6075,3365.963,6816.1337,3305.2677,3195.5438,2044.6377,3594.6284,2715.8135
