Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,randomP.adjust,rank,Gene_Symbol,Gene_Description
1258,1,1.91803393675909,1.00785622319783,2.82821165032035,3.62341364221041e-05,0,1,17.0591096907771,3.62341364221041e-05,FALSE,0.000641138518700287,116,CNGB1,cyclic nucleotide gated channel subunit beta 1
1807,-1,-2.35108496677085,-3.54650613904954,-1.15566379449216,0.000115851080313832,0,1,14.8590465857041,0.000115851080313832,FALSE,0.00155031801207909,117,DPYS,dihydropyrimidinase
331,-1,-1.54901889242679,-2.21707813850627,-0.880959646347313,5.50556360442016e-06,0,1,20.6528339389957,5.50556360442016e-06,FALSE,0.000142092635191786,118,XIAP,X-linked inhibitor of apoptosis
954,-1,-1.46008242785076,-2.07016775786957,-0.849997097831947,2.72311826883917e-06,0,1,22.0023853270401,2.72311826883918e-06,FALSE,7.71613652121422e-05,119,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2
521,1,1.27444728956525,0.782587097214472,1.76630748191603,3.80594157821155e-07,0,1,25.7903114880874,3.80594157821154e-07,FALSE,1.4972500266906e-05,120,ATP5ME,ATP synthase membrane subunit e
529,-1,-1.35805161275915,-1.90692236966135,-0.80918085585695,1.23791811319058e-06,0,1,23.517358939501,1.23791811319058e-06,FALSE,3.91878452706893e-05,121,ATP6V1E1,ATPase H+ transporting V1 subunit E1
1582,-1,-1.93112040438747,-2.86380243270825,-0.998438376066686,4.94714258378438e-05,0,1,16.4682583076677,4.94714258378438e-05,FALSE,0.000813953539291429,122,CYP8B1,cytochrome P450 family 8 subfamily B member 1
293,-1,-1.28797903840516,-1.79827870890656,-0.777679367903758,7.54114510336031e-07,0,1,24.4716468247241,7.54114510336032e-07,FALSE,2.63419999644965e-05,123,SLC25A6,solute carrier family 25 member 6
863,1,2.02660425907287,1.02555938402723,3.02764913411851,7.25010281388653e-05,0,1,15.7444317616788,7.25010281388652e-05,FALSE,0.00110441415796497,124,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3
2628,-1,-1.51569011928561,-2.17834164925513,-0.85303858931609,7.35846663003432e-06,0,1,20.0977116496732,7.35846663003431e-06,FALSE,0.000182923354508583,125,GATM,glycine amidinotransferase
4010,1,1.23256634320273,0.757440750106442,1.70769193629902,3.68556685597965e-07,0,1,25.8523449279186,3.68556685597965e-07,FALSE,1.4786056337059e-05,126,LMX1B,LIM homeobox transcription factor 1 beta
5920,-1,-1.75030174908391,-2.57328002153297,-0.927323476634849,3.06703171803408e-05,0,1,17.3758195046971,3.06703171803409e-05,FALSE,0.000565453266131258,127,PLAAT4,phospholipase A and acyltransferase 4
327,-1,-1.49947950447472,-2.15626793470339,-0.842691074246053,7.65215979484843e-06,0,1,20.0228669945029,7.65215979484841e-06,FALSE,0.000187918493871066,128,APEH,acylaminoacyl-peptide hydrolase
